ip,port,username,password
192.168.1.89,8080,proxyuser80,proxypass80
192.168.1.90,8080,proxyuser81,proxypass81
192.168.1.91,8080,proxyuser82,proxypass82
192.168.1.92,8080,proxyuser83,proxypass83
192.168.1.93,8080,proxyuser84,proxypass84
192.168.1.94,8080,proxyuser85,proxypass85
192.168.1.95,8080,proxyuser86,proxypass86
192.168.1.96,8080,proxyuser87,proxypass87
192.168.1.97,8080,proxyuser88,proxypass88
192.168.1.98,8080,proxyuser89,proxypass89
192.168.1.99,8080,proxyuser90,proxypass90
192.168.1.100,8080,proxyuser91,proxypass91
192.168.1.101,8080,proxyuser92,proxypass92
192.168.1.102,8080,proxyuser93,proxypass93
192.168.1.103,8080,proxyuser94,proxypass94
192.168.1.104,8080,proxyuser95,proxypass95
192.168.1.105,8080,proxyuser96,proxypass96
192.168.1.106,8080,proxyuser97,proxypass97
192.168.1.107,8080,proxyuser98,proxypass98
192.168.1.108,8080,proxyuser99,proxypass99
192.168.1.109,8080,proxyuser100,proxypass100
192.168.1.110,8080,proxyuser101,proxypass101
192.168.1.111,8080,proxyuser102,proxypass102
192.168.1.112,8080,proxyuser103,proxypass103
192.168.1.113,8080,proxyuser104,proxypass104
192.168.1.114,8080,proxyuser105,proxypass105
192.168.1.115,8080,proxyuser106,proxypass106
192.168.1.116,8080,proxyuser107,proxypass107
192.168.1.117,8080,proxyuser108,proxypass108
192.168.1.118,8080,proxyuser109,proxypass109
192.168.1.119,8080,proxyuser110,proxypass110
192.168.1.120,8080,proxyuser111,proxypass111
192.168.1.121,8080,proxyuser112,proxypass112
192.168.1.122,8080,proxyuser113,proxypass113
192.168.1.123,8080,proxyuser114,proxypass114
192.168.1.124,8080,proxyuser115,proxypass115
192.168.1.125,8080,proxyuser116,proxypass116
192.168.1.126,8080,proxyuser117,proxypass117
192.168.1.127,8080,proxyuser118,proxypass118
192.168.1.128,8080,proxyuser119,proxypass119
192.168.1.129,8080,proxyuser120,proxypass120
192.168.1.130,8080,proxyuser121,proxypass121
192.168.1.131,8080,proxyuser122,proxypass122
192.168.1.132,8080,proxyuser123,proxypass123
192.168.1.133,8080,proxyuser124,proxypass124
192.168.1.134,8080,proxyuser125,proxypass125
192.168.1.135,8080,proxyuser126,proxypass126
192.168.1.136,8080,proxyuser127,proxypass127
192.168.1.137,8080,proxyuser128,proxypass128
192.168.1.138,8080,proxyuser129,proxypass129
192.168.1.139,8080,proxyuser130,proxypass130
192.168.1.140,8080,proxyuser131,proxypass131
192.168.1.141,8080,proxyuser132,proxypass132
192.168.1.142,8080,proxyuser133,proxypass133
192.168.1.143,8080,proxyuser134,proxypass134
192.168.1.144,8080,proxyuser135,proxypass135
192.168.1.145,8080,proxyuser136,proxypass136
192.168.1.146,8080,proxyuser137,proxypass137
192.168.1.147,8080,proxyuser138,proxypass138
192.168.1.148,8080,proxyuser139,proxypass139
192.168.1.149,8080,proxyuser140,proxypass140
192.168.1.150,8080,proxyuser141,proxypass141
192.168.1.151,8080,proxyuser142,proxypass142
192.168.1.152,8080,proxyuser143,proxypass143
192.168.1.153,8080,proxyuser144,proxypass144
192.168.1.154,8080,proxyuser145,proxypass145
192.168.1.155,8080,proxyuser146,proxypass146
192.168.1.156,8080,proxyuser147,proxypass147
192.168.1.157,8080,proxyuser148,proxypass148
192.168.1.158,8080,proxyuser149,proxypass149
192.168.1.159,8080,proxyuser150,proxypass150
192.168.1.160,8080,proxyuser151,proxypass151
192.168.1.161,8080,proxyuser152,proxypass152
192.168.1.162,8080,proxyuser153,proxypass153
192.168.1.163,8080,proxyuser154,proxypass154
192.168.1.164,8080,proxyuser155,proxypass155
192.168.1.165,8080,proxyuser156,proxypass156
192.168.1.166,8080,proxyuser157,proxypass157
192.168.1.167,8080,proxyuser158,proxypass158
192.168.1.168,8080,proxyuser159,proxypass159
192.168.1.169,8080,proxyuser160,proxypass160
192.168.1.170,8080,proxyuser161,proxypass161
192.168.1.171,8080,proxyuser162,proxypass162
192.168.1.172,8080,proxyuser163,proxypass163
192.168.1.173,8080,proxyuser164,proxypass164
192.168.1.174,8080,proxyuser165,proxypass165
192.168.1.175,8080,proxyuser166,proxypass166
192.168.1.176,8080,proxyuser167,proxypass167
192.168.1.177,8080,proxyuser168,proxypass168
192.168.1.178,8080,proxyuser169,proxypass169
192.168.1.179,8080,proxyuser170,proxypass170
192.168.1.180,8080,proxyuser171,proxypass171
192.168.1.181,8080,proxyuser172,proxypass172
192.168.1.182,8080,proxyuser173,proxypass173
192.168.1.183,8080,proxyuser174,proxypass174
192.168.1.184,8080,proxyuser175,proxypass175
192.168.1.185,8080,proxyuser176,proxypass176
192.168.1.186,8080,proxyuser177,proxypass177
192.168.1.187,8080,proxyuser178,proxypass178
192.168.1.188,8080,proxyuser179,proxypass179
192.168.1.189,8080,proxyuser180,proxypass180
192.168.1.190,8080,proxyuser181,proxypass181
192.168.1.191,8080,proxyuser182,proxypass182
192.168.1.192,8080,proxyuser183,proxypass183
192.168.1.193,8080,proxyuser184,proxypass184
192.168.1.194,8080,proxyuser185,proxypass185
192.168.1.195,8080,proxyuser186,proxypass186
192.168.1.196,8080,proxyuser187,proxypass187
192.168.1.197,8080,proxyuser188,proxypass188
192.168.1.198,8080,proxyuser189,proxypass189
192.168.1.199,8080,proxyuser190,proxypass190
192.168.1.200,8080,proxyuser191,proxypass191
192.168.1.201,8080,proxyuser192,proxypass192
192.168.1.202,8080,proxyuser193,proxypass193
192.168.1.203,8080,proxyuser194,proxypass194
192.168.1.204,8080,proxyuser195,proxypass195
192.168.1.205,8080,proxyuser196,proxypass196
192.168.1.206,8080,proxyuser197,proxypass197
192.168.1.207,8080,proxyuser198,proxypass198
192.168.1.208,8080,proxyuser199,proxypass199
192.168.1.209,8080,proxyuser200,proxypass200
192.168.1.210,8080,proxyuser201,proxypass201
192.168.1.211,8080,proxyuser202,proxypass202
192.168.1.212,8080,proxyuser203,proxypass203
192.168.1.213,8080,proxyuser204,proxypass204
192.168.1.214,8080,proxyuser205,proxypass205
192.168.1.215,8080,proxyuser206,proxypass206
192.168.1.216,8080,proxyuser207,proxypass207
192.168.1.217,8080,proxyuser208,proxypass208
192.168.1.218,8080,proxyuser209,proxypass209
192.168.1.219,8080,proxyuser210,proxypass210
192.168.1.220,8080,proxyuser211,proxypass211
192.168.1.221,8080,proxyuser212,proxypass212
192.168.1.222,8080,proxyuser213,proxypass213
192.168.1.223,8080,proxyuser214,proxypass214
192.168.1.224,8080,proxyuser215,proxypass215
192.168.1.225,8080,proxyuser216,proxypass216
192.168.1.226,8080,proxyuser217,proxypass217
192.168.1.227,8080,proxyuser218,proxypass218
192.168.1.228,8080,proxyuser219,proxypass219
192.168.1.229,8080,proxyuser220,proxypass220
192.168.1.230,8080,proxyuser221,proxypass221
192.168.1.231,8080,proxyuser222,proxypass222
192.168.1.232,8080,proxyuser223,proxypass223
192.168.1.233,8080,proxyuser224,proxypass224
192.168.1.234,8080,proxyuser225,proxypass225
192.168.1.235,8080,proxyuser226,proxypass226
192.168.1.236,8080,proxyuser227,proxypass227
192.168.1.237,8080,proxyuser228,proxypass228
192.168.1.238,8080,proxyuser229,proxypass229
192.168.1.239,8080,proxyuser230,proxypass230
192.168.1.240,8080,proxyuser231,proxypass231
192.168.1.241,8080,proxyuser232,proxypass232
192.168.1.242,8080,proxyuser233,proxypass233
192.168.1.243,8080,proxyuser234,proxypass234
192.168.1.244,8080,proxyuser235,proxypass235
192.168.1.245,8080,proxyuser236,proxypass236
192.168.1.246,8080,proxyuser237,proxypass237
192.168.1.247,8080,proxyuser238,proxypass238
192.168.1.248,8080,proxyuser239,proxypass239
192.168.1.249,8080,proxyuser240,proxypass240
192.168.1.250,8080,proxyuser241,proxypass241
192.168.1.251,8080,proxyuser242,proxypass242
192.168.1.252,8080,proxyuser243,proxypass243
192.168.1.253,8080,proxyuser244,proxypass244
192.168.1.254,8080,proxyuser245,proxypass245
192.168.2.1,8080,proxyuser246,proxypass246
192.168.2.2,8080,proxyuser247,proxypass247
192.168.2.3,8080,proxyuser248,proxypass248
192.168.2.4,8080,proxyuser249,proxypass249
192.168.2.5,8080,proxyuser250,proxypass250
192.168.2.6,8080,proxyuser251,proxypass251
192.168.2.7,8080,proxyuser252,proxypass252
192.168.2.8,8080,proxyuser253,proxypass253
192.168.2.9,8080,proxyuser254,proxypass254
192.168.2.10,8080,proxyuser255,proxypass255
192.168.2.11,8080,proxyuser256,proxypass256
192.168.2.12,8080,proxyuser257,proxypass257
192.168.2.13,8080,proxyuser258,proxypass258
192.168.2.14,8080,proxyuser259,proxypass259
192.168.2.15,8080,proxyuser260,proxypass260
192.168.2.16,8080,proxyuser261,proxypass261
192.168.2.17,8080,proxyuser262,proxypass262
192.168.2.18,8080,proxyuser263,proxypass263
192.168.2.19,8080,proxyuser264,proxypass264
192.168.2.20,8080,proxyuser265,proxypass265
192.168.2.21,8080,proxyuser266,proxypass266
192.168.2.22,8080,proxyuser267,proxypass267
192.168.2.23,8080,proxyuser268,proxypass268
192.168.2.24,8080,proxyuser269,proxypass269
192.168.2.25,8080,proxyuser270,proxypass270
192.168.2.26,8080,proxyuser271,proxypass271
192.168.2.27,8080,proxyuser272,proxypass272
192.168.2.28,8080,proxyuser273,proxypass273
192.168.2.29,8080,proxyuser274,proxypass274
192.168.2.30,8080,proxyuser275,proxypass275
192.168.2.31,8080,proxyuser276,proxypass276
192.168.2.32,8080,proxyuser277,proxypass277
192.168.2.33,8080,proxyuser278,proxypass278
192.168.2.34,8080,proxyuser279,proxypass279
192.168.2.35,8080,proxyuser280,proxypass280
192.168.2.36,8080,proxyuser281,proxypass281
192.168.2.37,8080,proxyuser282,proxypass282
192.168.2.38,8080,proxyuser283,proxypass283
192.168.2.39,8080,proxyuser284,proxypass284
192.168.2.40,8080,proxyuser285,proxypass285
192.168.2.41,8080,proxyuser286,proxypass286
192.168.2.42,8080,proxyuser287,proxypass287
192.168.2.43,8080,proxyuser288,proxypass288
192.168.2.44,8080,proxyuser289,proxypass289
192.168.2.45,8080,proxyuser290,proxypass290
192.168.2.46,8080,proxyuser291,proxypass291
192.168.2.47,8080,proxyuser292,proxypass292
192.168.2.48,8080,proxyuser293,proxypass293
192.168.2.49,8080,proxyuser294,proxypass294
192.168.2.50,8080,proxyuser295,proxypass295
192.168.2.51,8080,proxyuser296,proxypass296
192.168.2.52,8080,proxyuser297,proxypass297
192.168.2.53,8080,proxyuser298,proxypass298
192.168.2.54,8080,proxyuser299,proxypass299
192.168.2.55,8080,proxyuser300,proxypass300
192.168.2.56,8080,proxyuser301,proxypass301
192.168.2.57,8080,proxyuser302,proxypass302
192.168.2.58,8080,proxyuser303,proxypass303
192.168.2.59,8080,proxyuser304,proxypass304
192.168.2.60,8080,proxyuser305,proxypass305
192.168.2.61,8080,proxyuser306,proxypass306
192.168.2.62,8080,proxyuser307,proxypass307
192.168.2.63,8080,proxyuser308,proxypass308
192.168.2.64,8080,proxyuser309,proxypass309
192.168.2.65,8080,proxyuser310,proxypass310
192.168.2.66,8080,proxyuser311,proxypass311
192.168.2.67,8080,proxyuser312,proxypass312
192.168.2.68,8080,proxyuser313,proxypass313
192.168.2.69,8080,proxyuser314,proxypass314
192.168.2.70,8080,proxyuser315,proxypass315
192.168.2.71,8080,proxyuser316,proxypass316
192.168.2.72,8080,proxyuser317,proxypass317
192.168.2.73,8080,proxyuser318,proxypass318
192.168.2.74,8080,proxyuser319,proxypass319
192.168.2.75,8080,proxyuser320,proxypass320
192.168.2.76,8080,proxyuser321,proxypass321
192.168.2.77,8080,proxyuser322,proxypass322
192.168.2.78,8080,proxyuser323,proxypass323
192.168.2.79,8080,proxyuser324,proxypass324
192.168.2.80,8080,proxyuser325,proxypass325
192.168.2.81,8080,proxyuser326,proxypass326
192.168.2.82,8080,proxyuser327,proxypass327
192.168.2.83,8080,proxyuser328,proxypass328
192.168.2.84,8080,proxyuser329,proxypass329
192.168.2.85,8080,proxyuser330,proxypass330
192.168.2.86,8080,proxyuser331,proxypass331
192.168.2.87,8080,proxyuser332,proxypass332
192.168.2.88,8080,proxyuser333,proxypass333
192.168.2.89,8080,proxyuser334,proxypass334
192.168.2.90,8080,proxyuser335,proxypass335
192.168.2.91,8080,proxyuser336,proxypass336
192.168.2.92,8080,proxyuser337,proxypass337
192.168.2.93,8080,proxyuser338,proxypass338
192.168.2.94,8080,proxyuser339,proxypass339
192.168.2.95,8080,proxyuser340,proxypass340
192.168.2.96,8080,proxyuser341,proxypass341
192.168.2.97,8080,proxyuser342,proxypass342
192.168.2.98,8080,proxyuser343,proxypass343
192.168.2.99,8080,proxyuser344,proxypass344
192.168.2.100,8080,proxyuser345,proxypass345
192.168.2.101,8080,proxyuser346,proxypass346
192.168.2.102,8080,proxyuser347,proxypass347
192.168.2.103,8080,proxyuser348,proxypass348
192.168.2.104,8080,proxyuser349,proxypass349
192.168.2.105,8080,proxyuser350,proxypass350
192.168.2.106,8080,proxyuser351,proxypass351
192.168.2.107,8080,proxyuser352,proxypass352
192.168.2.108,8080,proxyuser353,proxypass353
192.168.2.109,8080,proxyuser354,proxypass354
192.168.2.110,8080,proxyuser355,proxypass355
192.168.2.111,8080,proxyuser356,proxypass356
192.168.2.112,8080,proxyuser357,proxypass357
192.168.2.113,8080,proxyuser358,proxypass358
192.168.2.114,8080,proxyuser359,proxypass359
192.168.2.115,8080,proxyuser360,proxypass360
192.168.2.116,8080,proxyuser361,proxypass361
192.168.2.117,8080,proxyuser362,proxypass362
192.168.2.118,8080,proxyuser363,proxypass363
192.168.2.119,8080,proxyuser364,proxypass364
192.168.2.120,8080,proxyuser365,proxypass365
192.168.2.121,8080,proxyuser366,proxypass366
192.168.2.122,8080,proxyuser367,proxypass367
192.168.2.123,8080,proxyuser368,proxypass368
192.168.2.124,8080,proxyuser369,proxypass369
192.168.2.125,8080,proxyuser370,proxypass370
192.168.2.126,8080,proxyuser371,proxypass371
192.168.2.127,8080,proxyuser372,proxypass372
192.168.2.128,8080,proxyuser373,proxypass373
192.168.2.129,8080,proxyuser374,proxypass374
192.168.2.130,8080,proxyuser375,proxypass375
192.168.2.131,8080,proxyuser376,proxypass376
192.168.2.132,8080,proxyuser377,proxypass377
192.168.2.133,8080,proxyuser378,proxypass378
192.168.2.134,8080,proxyuser379,proxypass379
192.168.2.135,8080,proxyuser380,proxypass380
192.168.2.136,8080,proxyuser381,proxypass381
192.168.2.137,8080,proxyuser382,proxypass382
192.168.2.138,8080,proxyuser383,proxypass383
192.168.2.139,8080,proxyuser384,proxypass384
192.168.2.140,8080,proxyuser385,proxypass385
192.168.2.141,8080,proxyuser386,proxypass386
192.168.2.142,8080,proxyuser387,proxypass387
192.168.2.143,8080,proxyuser388,proxypass388
192.168.2.144,8080,proxyuser389,proxypass389
192.168.2.145,8080,proxyuser390,proxypass390
192.168.2.146,8080,proxyuser391,proxypass391
192.168.2.147,8080,proxyuser392,proxypass392
192.168.2.148,8080,proxyuser393,proxypass393
192.168.2.149,8080,proxyuser394,proxypass394
192.168.2.150,8080,proxyuser395,proxypass395
192.168.2.151,8080,proxyuser396,proxypass396
192.168.2.152,8080,proxyuser397,proxypass397
192.168.2.153,8080,proxyuser398,proxypass398
192.168.2.154,8080,proxyuser399,proxypass399
192.168.2.155,8080,proxyuser400,proxypass400
192.168.2.156,8080,proxyuser401,proxypass401
192.168.2.157,8080,proxyuser402,proxypass402
192.168.2.158,8080,proxyuser403,proxypass403
192.168.2.159,8080,proxyuser404,proxypass404
192.168.2.160,8080,proxyuser405,proxypass405
192.168.2.161,8080,proxyuser406,proxypass406
192.168.2.162,8080,proxyuser407,proxypass407
192.168.2.163,8080,proxyuser408,proxypass408
192.168.2.164,8080,proxyuser409,proxypass409
192.168.2.165,8080,proxyuser410,proxypass410
192.168.2.166,8080,proxyuser411,proxypass411
192.168.2.167,8080,proxyuser412,proxypass412
192.168.2.168,8080,proxyuser413,proxypass413
192.168.2.169,8080,proxyuser414,proxypass414
192.168.2.170,8080,proxyuser415,proxypass415
192.168.2.171,8080,proxyuser416,proxypass416
192.168.2.172,8080,proxyuser417,proxypass417
192.168.2.173,8080,proxyuser418,proxypass418
192.168.2.174,8080,proxyuser419,proxypass419
192.168.2.175,8080,proxyuser420,proxypass420
192.168.2.176,8080,proxyuser421,proxypass421
192.168.2.177,8080,proxyuser422,proxypass422
192.168.2.178,8080,proxyuser423,proxypass423
192.168.2.179,8080,proxyuser424,proxypass424
192.168.2.180,8080,proxyuser425,proxypass425
192.168.2.181,8080,proxyuser426,proxypass426
192.168.2.182,8080,proxyuser427,proxypass427
192.168.2.183,8080,proxyuser428,proxypass428
192.168.2.184,8080,proxyuser429,proxypass429
192.168.2.185,8080,proxyuser430,proxypass430
192.168.2.186,8080,proxyuser431,proxypass431
192.168.2.187,8080,proxyuser432,proxypass432
192.168.2.188,8080,proxyuser433,proxypass433
192.168.2.189,8080,proxyuser434,proxypass434
192.168.2.190,8080,proxyuser435,proxypass435
192.168.2.191,8080,proxyuser436,proxypass436
192.168.2.192,8080,proxyuser437,proxypass437
192.168.2.193,8080,proxyuser438,proxypass438
192.168.2.194,8080,proxyuser439,proxypass439
192.168.2.195,8080,proxyuser440,proxypass440
192.168.2.196,8080,proxyuser441,proxypass441
192.168.2.197,8080,proxyuser442,proxypass442
192.168.2.198,8080,proxyuser443,proxypass443
192.168.2.199,8080,proxyuser444,proxypass444
192.168.2.200,8080,proxyuser445,proxypass445
192.168.2.201,8080,proxyuser446,proxypass446
192.168.2.202,8080,proxyuser447,proxypass447
192.168.2.203,8080,proxyuser448,proxypass448
192.168.2.204,8080,proxyuser449,proxypass449
192.168.2.205,8080,proxyuser450,proxypass450
192.168.2.206,8080,proxyuser451,proxypass451
192.168.2.207,8080,proxyuser452,proxypass452
192.168.2.208,8080,proxyuser453,proxypass453
192.168.2.209,8080,proxyuser454,proxypass454
192.168.2.210,8080,proxyuser455,proxypass455
192.168.2.211,8080,proxyuser456,proxypass456
192.168.2.212,8080,proxyuser457,proxypass457
192.168.2.213,8080,proxyuser458,proxypass458
192.168.2.214,8080,proxyuser459,proxypass459
192.168.2.215,8080,proxyuser460,proxypass460
192.168.2.216,8080,proxyuser461,proxypass461
192.168.2.217,8080,proxyuser462,proxypass462
192.168.2.218,8080,proxyuser463,proxypass463
192.168.2.219,8080,proxyuser464,proxypass464
192.168.2.220,8080,proxyuser465,proxypass465
192.168.2.221,8080,proxyuser466,proxypass466
192.168.2.222,8080,proxyuser467,proxypass467
192.168.2.223,8080,proxyuser468,proxypass468
192.168.2.224,8080,proxyuser469,proxypass469
192.168.2.225,8080,proxyuser470,proxypass470
192.168.2.226,8080,proxyuser471,proxypass471
192.168.2.227,8080,proxyuser472,proxypass472
192.168.2.228,8080,proxyuser473,proxypass473
192.168.2.229,8080,proxyuser474,proxypass474
192.168.2.230,8080,proxyuser475,proxypass475
192.168.2.231,8080,proxyuser476,proxypass476
192.168.2.232,8080,proxyuser477,proxypass477
192.168.2.233,8080,proxyuser478,proxypass478
192.168.2.234,8080,proxyuser479,proxypass479
192.168.2.235,8080,proxyuser480,proxypass480
192.168.2.236,8080,proxyuser481,proxypass481
192.168.2.237,8080,proxyuser482,proxypass482
192.168.2.238,8080,proxyuser483,proxypass483
192.168.2.239,8080,proxyuser484,proxypass484
192.168.2.240,8080,proxyuser485,proxypass485
192.168.2.241,8080,proxyuser486,proxypass486
192.168.2.242,8080,proxyuser487,proxypass487
192.168.2.243,8080,proxyuser488,proxypass488
192.168.2.244,8080,proxyuser489,proxypass489
192.168.2.245,8080,proxyuser490,proxypass490
192.168.2.246,8080,proxyuser491,proxypass491
192.168.2.247,8080,proxyuser492,proxypass492
192.168.2.248,8080,proxyuser493,proxypass493
192.168.2.249,8080,proxyuser494,proxypass494
192.168.2.250,8080,proxyuser495,proxypass495
192.168.2.251,8080,proxyuser496,proxypass496
192.168.2.252,8080,proxyuser497,proxypass497
192.168.2.253,8080,proxyuser498,proxypass498
192.168.2.254,8080,proxyuser499,proxypass499
192.168.3.1,8080,proxyuser500,proxypass500

